identifier,canonical_smiles,standard_inchi,standard_inchi_key,name,iupac_name,annotation_level,total_atom_count,heavy_atom_count,molecular_weight,exact_molecular_weight,molecular_formula,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,aromatic_rings_count,qed_drug_likeliness,formal_charge,fractioncsp3,number_of_minimal_rings,van_der_walls_volume,contains_sugar,contains_ring_sugars,contains_linear_sugars,murcko_framework,np_likeness,chemical_class,chemical_sub_class,chemical_super_class,direct_parent_classification,np_classifier_pathway,np_classifier_superclass,np_classifier_class,np_classifier_is_glycoside,organisms,collections,dois,synonyms,cas
CNP0000354.0,OC=C1N=NC2=CC=CN12,"InChI=1S/C6H5N3O/c10-4-6-8-7-5-2-1-3-9(5)6/h1-4,10H",ORGCAYKXAXHUTC-UHFFFAOYSA-N,"pyrrolo[2,1-c][1,2,4]triazol-3-ylidenemethanol","pyrrolo[2,1-c][1,2,4]triazol-3-ylidenemethanol",1,15,10,135.13,135.04326,C6H5N3O,-0.26,50.42,0,4,1,4,1,0,2,0.54,0,0.00,2,113.55,False,False,False,N1=NCn2cccc12,-1.81,Azoles,Triazoles,Organoheterocyclic compounds,Triazoles,Alkaloids,,,False,,ChemSpider NPs,,,
CNP0349164.0,CC1=NN=CC2=C1N=CO2,"InChI=1S/C6H5N3O/c1-4-6-5(2-8-9-4)10-3-7-6/h2-3H,1H3",QPCLXEDBFTVWKN-UHFFFAOYSA-N,"4-methyl-[1,3]oxazolo[4,5-d]pyridazine","4-methyloxazolo[4,5-d]pyridazine",2,15,10,135.13,135.04326,C6H5N3O,0.93,51.81,0,4,0,4,0,0,2,0.54,0,0.17,2,113.74,False,False,False,n1ncc2ocnc2c1,-1.00,Diazines,Pyridazines and derivatives,Organoheterocyclic compounds,Pyridazines and derivatives,Alkaloids,,,False,,ChemSpider NPs,,SCHEMBL14437977,
CNP0219312.0,COC1=CC=C(C2=CC(=O)C3=CC=C(O)C=C3O2)C=C1O,"InChI=1S/C16H12O5/c1-20-14-5-2-9(6-13(14)19)15-8-12(18)11-4-3-10(17)7-16(11)21-15/h2-8,17,19H,1H3",QAGGICSUEVNSGH-UHFFFAOYSA-N,Farnisin,7-hydroxy-2-(3-hydroxy-4-methoxy-phenyl)chromen-4-one,5,33,21,284.27,284.06847,C16H12O5,2.88,79.90,2,5,2,5,2,0,3,0.76,0,0.06,3,240.14,False,False,False,O1c2ccccc2CC=C1c3ccccc3,0.99,Flavonoids,O-methylated flavonoids,Phenylpropanoids and polyketides,4'-O-methylated flavonoids,Shikimates and Phenylpropanoids,Flavonoids,Flavones,False,Acacia farnesiana|Cyclopia intermedia|Iryanthera juruensis|Iryanthera juruensis,ChemSpider NPs|KNApSaCK|Latin America dataset|NPEdia|NuBBEDB|Super Natural II|TIPdb (database of Taiwan indigenous plants)|UEFS (Natural Products Databse of the UEFS)|UNPD (Universal Natural Products Database)|VietHerb|WikiData Natural Products,10.1021/JF0210730|10.1021/JF063451X|10.1021/jf063451x,54867-60-6|7-hydroxy-2-(3-hydroxy-4-methoxyphenyl)chromen-4-one|3'|7-Dihydroxy-4'-methoxyflavone|SCHEMBL1744293|Calycosin| >=98% (HPLC)|CHEBI:174709|QAGGICSUEVNSGH-UHFFFAOYSA-N|DTXSID301300741|LMPK12110047|7| 3a(2)-Dihydroxy-4a(2)-methoxyflavone|Q23055237|7-Hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one|Farnisin,54867-60-6
CNP0119234.0,OC1=C2NN=CC=C2N=C1,"InChI=1S/C6H5N3O/c10-5-3-7-4-1-2-8-9-6(4)5/h1-3,9-10H",QKNBIZNSIKHBQT-UHFFFAOYSA-N,"1H-pyrrolo[3,2-c]pyridazin-7-ol","1~{H}-pyrrolo[3,2-c]pyridazin-7-ol",1,15,10,135.13,135.04326,C6H5N3O,0.62,61.80,0,3,2,3,2,0,0,0.56,0,0.00,2,113.30,False,False,False,n1nc2=CC=Nc2cc1,-1.22,Diazines,Pyridazines and derivatives,Organoheterocyclic compounds,Pyridazines and derivatives,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,False,,ChemSpider NPs,,,
CNP0000686.0,BrC1=CC=C(C2=CC=CC(C3C4CC5CC(C4)CC3C5)=C2)C=C1,"InChI=1S/C22H23Br/c23-21-6-4-16(5-7-21)17-2-1-3-18(13-17)22-19-9-14-8-15(11-19)12-20(22)10-14/h1-7,13-15,19-20,22H,8-12H2",AQWGEYVZVVPKLS-UHFFFAOYSA-N,,2-[3-(4-bromophenyl)phenyl]adamantane,1,46,23,367.33,366.09831,C22H23Br,6.66,0.00,2,0,0,0,0,1,2,0.56,0,0.46,6,304.61,False,False,False,c1ccc(cc1)-c2cccc(c2)C3C4CC5CC(C4)CC3C5,-0.23,Benzene and substituted derivatives,Biphenyls and derivatives,Benzenoids,Brominated biphenyls,Shikimates and Phenylpropanoids,,,False,,ChemSpider NPs,,,
CNP0000680.0,O=C(O)C=CC1=CC=C(C2=CC=C(C3C4CC5CC(C4)CC3C5)C(O)=C2)C=C1,"InChI=1S/C25H26O3/c26-23-14-19(18-4-1-15(2-5-18)3-8-24(27)28)6-7-22(23)25-20-10-16-9-17(12-20)13-21(25)11-16/h1-8,14,16-17,20-21,25-26H,9-13H2,(H,27,28)",AHCOVQLXKPNEDG-UHFFFAOYSA-N,,3-[4-[4-(2-adamantyl)-3-hydroxy-phenyl]phenyl]prop-2-enoic acid,1,54,28,374.48,374.18819,C25H26O3,5.70,57.53,4,2,2,2,2,1,2,0.68,0,0.40,6,347.72,False,False,False,c1ccc(cc1)-c2ccc(cc2)C3C4CC5CC(C4)CC3C5,0.51,Benzene and substituted derivatives,Cyclohexylphenols,Benzenoids,Cyclohexylphenols,Shikimates and Phenylpropanoids,,,False,,ChemSpider NPs,,,
CNP0173963.0,N=C1ONC2=CC=NC=C12,"InChI=1S/C6H5N3O/c7-6-4-3-8-2-1-5(4)9-10-6/h1-3,7,9H",SHHFGRWHWZXJBM-UHFFFAOYSA-N,"1H-[1,2]oxazolo[4,3-c]pyridin-3-imine","1~{H}-isoxazolo[4,3-c]pyridin-3-imine",1,15,10,135.13,135.04326,C6H5N3O,0.64,65.67,0,3,2,3,2,0,2,0.56,0,0.00,2,112.21,False,False,False,n1ccc2NOCc2c1,-0.50,Pyridines and derivatives,Halopyridines,Organoheterocyclic compounds,Polyhalopyridines,Alkaloids,,,False,,ChemSpider NPs,,,
CNP0000236.0,COC1=CC(C=CC(=O)OC2=CC=CC=C2I)=CC(OC)=C1O,"InChI=1S/C17H15IO5/c1-21-14-9-11(10-15(22-2)17(14)20)7-8-16(19)23-13-6-4-3-5-12(13)18/h3-10,20H,1-2H3",SJKXVLJYRBSFBW-UHFFFAOYSA-N,,"(2-iodophenyl) 3-(4-hydroxy-3,5-dimethoxy-phenyl)prop-2-enoate",1,38,23,426.21,425.99642,C17H15IO5,3.63,64.99,5,5,1,5,1,0,2,0.34,0,0.12,2,299.57,False,False,False,O(c1ccccc1)CC=Cc2ccccc2,0.16,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Phenylpropanoids and polyketides,Hydroxycinnamic acids,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,False,,ChemSpider NPs,,,
CNP0000551.0,C=NN1C=NC2=C1C=CO2,"InChI=1S/C6H5N3O/c1-7-9-4-8-6-5(9)2-3-10-6/h2-4H,1H2",SQCHCUSIJUIRKB-UHFFFAOYSA-N,,"~{N}-furo[2,3-d]imidazol-1-ylmethanimine",1,15,10,135.13,135.04326,C6H5N3O,1.09,43.32,1,4,0,4,0,0,2,0.55,0,0.00,2,113.74,False,False,False,N1=C[N]c2ccoc12,-0.63,Azoles,Imidazoles,Organoheterocyclic compounds,N-substituted imidazoles,Alkaloids,,,False,,ChemSpider NPs,,,
CNP0000889.0,N=C1C=NC2=CONC2=C1,"InChI=1S/C6H5N3O/c7-4-1-5-6(8-2-4)3-10-9-5/h1-3,7,9H",DCRBKMNFUMQEFK-UHFFFAOYSA-N,"1H-[1,2]oxazolo[4,3-b]pyridin-6-imine","1~{H}-isoxazolo[4,3-b]pyridin-6-imine",1,15,10,135.13,135.04326,C6H5N3O,0.59,65.67,0,3,2,3,2,0,0,0.55,0,0.00,2,112.18,False,False,False,N1=CCC=C2NOC=C12,-0.29,Pyridines and derivatives,Halopyridines,Organoheterocyclic compounds,Polyhalopyridines,Alkaloids,Nicotinic acid alkaloids,,False,,ChemSpider NPs,,,
